	GSM7985465_water_r1	GSM7985466_water_r2	GSM7985467_water_r3	GSM7985294_cip_0p78uM_r1	GSM7985295_cip_0p78uM_r2	GSM7985296_cip_0p78uM_r3	GSM7985297_cip_1p56uM_r1	GSM7985298_cip_1p56uM_r2	GSM7985299_cip_1p56uM_r3
PA14_RS27090	318.102958009554	328.825120372711	418.493524470684	394.903351724844	479.682371307262	426.223892766449	507.732719135144	527.068137803595	434.970229176881
PA14_RS27095	528.025152971324	519.068082782859	646.529791886342	395.89557120154	478.907440174294	506.014621507088	394.127523228655	543.539017109957	401.076445085176
PA14_RS27100	92.7263683266716	86.9213535149811	81.9905680595625	89.299752902603	97.6413227539823	96.9608855582444	66.0052534875687	75.1483868352782	52.7236641426522
PA14_RS27105	27.0451907619459	43.4606767574905	41.8493524470684	31.7510232542588	30.9972453187245	38.3803505334717	23.4826382600004	12.3531594797718	18.8298800509472
PA14_RS27110	57.9539802041698	32.8005107603702	40.9952840297813	80.3697776123427	103.840771817727	91.9108394354191	107.258536917299	100.884135751469	152.522028412672
PA14_RS27115	9.0150635873153	16.4002553801851	5.97847892100977	16.867731103825	20.1482094571709	26.2602398386912	29.1946313502708	16.4708793063623	16.9468920458525
PA14_RS27120	108.180763047784	30.3404724533425	83.6987048941367	41.6732180212147	58.1198349726085	83.8307656388988	60.2932603972983	110.149005361298	97.9153762649255
PA14_RS27125	112.044361728062	86.9213535149811	111.028894247324	138.910726737382	132.513223737547	122.21111617237	157.397142931895	151.326203627204	171.35190846362
PA14_RS27130	14.1665284943526	27.0604213773054	19.6435735976035	10.9144142436515	20.1482094571709	9.09008302108541	15.2319815740543	20.5885991329529	3.76597601018944
PA14_RS27135	32.1966556689832	36.9005746054165	17.9354367630293	68.4631438919956	118.564463344121	116.15106082498	154.858479336219	140.00247410408	114.862268310778
PA14_RS27140	1.28786622675933	6.56010215207404	2.56220525186133	2.97665843008677	7.74931132968113	0	4.44266129243251	1.02942995664765	7.53195202037889
PA14_RS27145	7.72719736055597	0.820012769009256	3.41627366914844	6.94553633686912	5.42451793077679	3.03002767369514	3.80799539351358	3.08828986994294	0
PA14_RS27150	11.590796040834	15.5802426111759	21.3517104321777	17.8599505805206	13.1738292604579	23.230212164996	14.5973156751354	20.5885991329529	35.7767720967997
PA14_RS27155	339.996683864463	214.023332711416	266.469346193578	370.097864807455	378.941324021407	381.783486885587	340.180921820546	411.771982659058	438.73620518707
PA14_RS27160	117.195826635099	101.681583357148	103.34227849174	111.128581389906	118.564463344121	105.040959354765	90.757223545407	86.4721163584023	58.3726281579364
PA14_RS27165	491.964898622063	620.749666140007	509.878845120404	729.281315371258	616.845181842618	633.275783802283	609.279262962173	623.834553728473	625.152017691448
PA14_RS27170	692.872029996518	797.872424246006	889.939290813168	1132.12242290967	1125.2000050697	997.889113870265	1162.07326092056	1099.43119369969	1180.63347919439
PA14_RS27175	529.313019198084	479.707469870415	469.73762950791	436.576569746059	473.482922243517	437.333994236665	447.439458737846	452.949180924964	329.522900891576
PA14_RS27180	448.177446912246	555.968657388275	448.385919075732	471.304251430405	479.682371307262	444.40405880862	268.463675242707	307.799557037646	357.767720967997
PA14_RS27185	1137.18587822849	1107.0172381625	1404.9425464373	589.37836915718	904.344632173788	836.287637939858	776.83106027677	849.279714234308	992.334678684918
PA14_RS27190	212.497927415289	102.501596126157	126.402125758492	76.4008997055603	103.840771817727	76.7607010669434	96.4692166356774	97.7958458815264	99.7983642700202
PA14_RS27195	173.861940612509	167.282604877888	113.591099499186	72.432021798778	84.4674934935243	69.6906364949881	91.3918894443259	70.0012370520399	92.2664122496414
PA14_RS27200	87.5749034196343	89.3813918220089	76.8661575558398	79.3775581356471	58.8947661055766	37.3703413089067	41.2532834297304	35.00061852602	43.3087241171786
PA14_RS27205	481.661968807989	308.32480114748	357.854666843299	248.054869173897	270.450965405872	259.572370713217	271.002338838383	246.033759638787	244.788440662314
PA14_RS27210	441.73811577845	434.606767574905	479.132382098068	332.393524693022	342.519560771906	352.493219373201	287.503652210275	280.00494820816	321.990948871197
PA14_RS27215	793.325595683746	920.874339597394	1024.88210074453	995.196135125675	1114.35096920815	1245.3413738887	1118.28131389515	1159.13813118525	1237.12311934723
PA14_RS27220	274.315506299737	323.085030989647	253.658319934272	292.704745625199	253.402480480573	261.592389162347	213.24774203676	191.473971936462	195.830752529851
PA14_RS27225	537.04021655864	724.891287804182	696.919828506281	790.798922926384	737.734438585644	774.67707524139	781.908387468122	670.158901777618	638.332933727111
PA14_RS27230	279.466971206774	320.624992682619	280.988509287459	307.588037775632	379.716255154375	346.433164025811	317.967615358384	259.416349075207	323.873936876292
PA14_RS27235	132.650221356211	134.482094117518	169.959615040135	188.521700572162	179.784022848602	163.621494379537	206.266417148652	222.356870635892	190.181788514567
PA14_RS27240	392.799199161595	403.446282352554	503.900366199395	557.627345902921	592.822316720607	566.61517498099	672.745852854066	704.13009034699	719.301417946184
PA14_RS27245	163.559010798435	159.902489956805	192.1653938896	218.28828487303	215.430854965135	187.861715769098	202.458421755139	212.062571069415	248.554416672503
PA14_RS27250	197.043532694177	304.224737302434	415.931319218822	355.214572657021	500.605511897401	413.093772847104	379.53020755352	554.862746633081	529.119629431617
PA14_RS27255	533.176617878362	767.531951792663	871.149785632852	630.059367701699	885.746284982553	761.546955322044	635.300564817849	816.337955621583	873.706434363951
PA14_RS27260	133.93808758297	159.082477187796	138.359083600512	102.198606099646	141.037466200197	150.491374460192	91.3918894443259	106.031285534708	107.330316290399
PA14_RS27265	206.058596281492	218.123396556462	199.852009645184	212.334968012856	230.929477624498	203.011854137574	218.325069228112	281.034378164807	248.554416672503
PA14_RS27270	39.9238530295392	35.260549067398	53.8063102890879	51.5954127881706	44.9460057121506	62.6205719230328	64.7359216897309	56.6186476156205	62.1386041681258
PA14_RS27275	122.347291542136	91.8414301290366	94.8015943188691	110.13636191321	100.741047285855	132.311208418021	86.9492281518934	138.973044147432	103.56434028021
PA14_RS27280	24.4694583084272	16.4002553801851	14.5191630938809	21.8288284873029	7.74931132968113	20.2001844913009	14.5973156751354	13.3825894364194	24.4788440662314
PA14_RS27285	708.32642471763	576.468976613507	536.354966056305	752.102363335256	781.905513164826	722.156595564007	760.964412803797	743.2484286996	766.376118073552
PA14_RS27290	37.3481205760205	34.4405362983887	39.287147195207	61.5176075551265	45.7209368451187	40.4003689826018	47.5999424189197	44.2654881358488	80.968484219073
PA14_RS27295	86.287037192875	77.08120028687	82.8446364768496	115.097459296688	134.063086003484	122.21111617237	143.434493155678	122.50216484107	180.766848489093
PA14_RS27300	179.013405519547	144.322247345629	164.835204536412	228.210479639985	278.975207868521	250.482287692131	311.620956369195	303.681837211056	327.639912886482
PA14_RS27305	84.9991709661157	87.7413662839903	78.5742943904141	109.144142436515	145.687052998005	160.591466705842	135.818502368651	116.325585101184	192.064776519662
PA14_RS27310	221.512991002604	268.144175466027	292.091398712191	345.292377890065	296.023692793819	318.152905737989	298.927638390816	363.388774696619	257.969356697977
PA14_RS27315	117.195826635099	96.7615067430922	61.4929260446719	109.144142436515	132.513223737547	87.8708025371589	113.605195906488	101.913565708117	86.6174482343572
PA14_RS27320	66.9690437914851	34.4405362983887	30.7464630223359	46.6343154046927	51.1454547758955	53.5304889019474	41.2532834297304	32.9417586127247	79.0854962139783
PA14_RS27325	70.832642471763	63.9609959827219	47.8278313680781	62.5098270318221	65.0942151693215	46.4604243299921	44.4266129243251	54.5597877023252	48.9576881324628
PA14_RS27330	126.210890222414	118.081838737333	119.569578420195	187.529481095466	137.162810535356	149.481365235627	135.183836469732	101.913565708117	97.9153762649255
